collateral_id,loan_id,collateral_type,collateral_value,valuation_date,status
1,5976,MOTORCYCLE,2502.16,2022-01-04,RELEASED
2,20242,MOTORCYCLE,19938.08,2022-01-04,ACTIVE
3,23247,CAR,4084.51,2022-01-04,RELEASED
4,7047,MOTORCYCLE,2286.53,2022-01-05,SEIZED
5,17096,CAR,16846.84,2022-01-05,RELEASED
6,476,MOTORCYCLE,1507.52,2022-01-05,RELEASED
7,12057,SMARTPHONE,812.24,2022-01-05,SEIZED
8,18562,CAR,17928.38,2022-01-05,ACTIVE
9,5144,SMARTPHONE,477.26,2022-01-05,RELEASED
10,19977,SMARTPHONE,997.88,2022-01-05,ACTIVE
11,10633,CAR,31964.99,2022-01-05,RELEASED
12,22490,SMARTPHONE,1239.46,2022-01-06,ACTIVE
13,13703,SMARTPHONE,499.7,2022-01-06,SEIZED
14,16103,SMARTPHONE,576.39,2022-01-07,RELEASED
15,20802,SMARTPHONE,1143.87,2022-01-07,RELEASED
16,23281,CAR,18770.29,2022-01-07,ACTIVE
17,2733,CAR,27364.24,2022-01-07,ACTIVE
18,1336,MOTORCYCLE,1532.34,2022-01-07,RELEASED
19,7136,CAR,6455.46,2022-01-07,ACTIVE
20,17193,CAR,22986.92,2022-01-07,ACTIVE
21,7069,SMARTPHONE,836.43,2022-01-07,ACTIVE
22,14380,SMARTPHONE,593.94,2022-01-08,ACTIVE
23,1683,CAR,13685.8,2022-01-08,ACTIVE
24,20948,MOTORCYCLE,3149.65,2022-01-08,ACTIVE
25,9710,CAR,105936.67,2022-01-08,ACTIVE
26,10502,CAR,4746.49,2022-01-08,ACTIVE
27,10857,MOTORCYCLE,2338.37,2022-01-09,ACTIVE
28,2618,MOTORCYCLE,55702.13,2022-01-09,ACTIVE
29,9043,SMARTPHONE,1051.72,2022-01-09,ACTIVE
30,14696,SMARTPHONE,399.93,2022-01-09,ACTIVE
31,12946,SMARTPHONE,482.74,2022-01-09,ACTIVE
32,11572,CAR,20286.13,2022-01-09,RELEASED
33,5972,SMARTPHONE,866.33,2022-01-09,RELEASED
34,17075,SMARTPHONE,374.48,2022-01-09,ACTIVE
35,8374,MOTORCYCLE,1130.59,2022-01-09,RELEASED
36,1771,CAR,6005.53,2022-01-10,ACTIVE
37,18519,SMARTPHONE,1195.19,2022-01-11,ACTIVE
38,18559,MOTORCYCLE,2492.37,2022-01-11,ACTIVE
39,9149,MOTORCYCLE,1219.23,2022-01-11,ACTIVE
40,9554,MOTORCYCLE,926.72,2022-01-12,ACTIVE
41,13044,CAR,4194.75,2022-01-12,RELEASED
42,7645,MOTORCYCLE,1707.82,2022-01-12,ACTIVE
43,1383,MOTORCYCLE,17916.39,2022-01-12,ACTIVE
44,12519,MOTORCYCLE,2247.16,2022-01-12,ACTIVE
45,21283,SMARTPHONE,456.61,2022-01-12,RELEASED
46,20870,MOTORCYCLE,2475.35,2022-01-13,ACTIVE
47,12284,MOTORCYCLE,2308.15,2022-01-13,RELEASED
48,9352,CAR,4246.93,2022-01-13,ACTIVE
49,15892,SMARTPHONE,634.48,2022-01-13,RELEASED
50,15714,CAR,1552.78,2022-01-13,RELEASED
51,3035,MOTORCYCLE,2563.99,2022-01-13,RELEASED
52,3071,CAR,73418.93,2022-01-13,ACTIVE
53,13787,CAR,38384.77,2022-01-13,RELEASED
54,1900,SMARTPHONE,857.9,2022-01-13,ACTIVE
55,8207,SMARTPHONE,678.9,2022-01-13,RELEASED
56,20198,CAR,7370.67,2022-01-13,RELEASED
57,8702,SMARTPHONE,763.72,2022-01-13,RELEASED
58,3097,CAR,98630.85,2022-01-14,ACTIVE
59,14181,CAR,14012.43,2022-01-14,ACTIVE
60,8147,CAR,4144.72,2022-01-14,ACTIVE
61,1374,MOTORCYCLE,2940.04,2022-01-14,RELEASED
62,11006,MOTORCYCLE,2709.72,2022-01-14,SEIZED
63,12838,SMARTPHONE,882.28,2022-01-14,RELEASED
64,2424,MOTORCYCLE,2149.99,2022-01-14,ACTIVE
65,13555,MOTORCYCLE,9348.15,2022-01-15,SEIZED
66,11723,CAR,18886.29,2022-01-15,RELEASED
67,21231,MOTORCYCLE,1585.09,2022-01-15,RELEASED
68,16388,MOTORCYCLE,2568.5,2022-01-15,RELEASED
69,22066,SMARTPHONE,641.27,2022-01-15,SEIZED
70,18723,MOTORCYCLE,4241.17,2022-01-16,RELEASED
71,12164,SMARTPHONE,791.96,2022-01-16,RELEASED
72,3915,SMARTPHONE,1120.14,2022-01-16,ACTIVE
73,13252,CAR,4424.56,2022-01-16,RELEASED
74,14518,CAR,4373.79,2022-01-16,ACTIVE
75,9540,SMARTPHONE,1021.8,2022-01-16,ACTIVE
76,3214,SMARTPHONE,539.45,2022-01-16,RELEASED
77,6474,SMARTPHONE,894.19,2022-01-16,SEIZED
78,14551,SMARTPHONE,632.56,2022-01-16,ACTIVE
79,16799,CAR,6094.97,2022-01-16,RELEASED
80,4714,SMARTPHONE,557.8,2022-01-16,SEIZED
81,12729,SMARTPHONE,774.37,2022-01-16,RELEASED
82,13743,MOTORCYCLE,2467.65,2022-01-17,RELEASED
83,8953,MOTORCYCLE,1812.01,2022-01-17,ACTIVE
84,4309,SMARTPHONE,856.42,2022-01-17,RELEASED
85,206,MOTORCYCLE,3411.7,2022-01-17,RELEASED
86,21865,CAR,29761.0,2022-01-18,RELEASED
87,36,CAR,55444.58,2022-01-18,ACTIVE
88,15440,MOTORCYCLE,41528.88,2022-01-18,RELEASED
89,12329,CAR,5936.77,2022-01-18,RELEASED
90,6325,MOTORCYCLE,3393.39,2022-01-18,ACTIVE
91,9922,MOTORCYCLE,1652.58,2022-01-18,ACTIVE
92,13204,MOTORCYCLE,1873.21,2022-01-19,ACTIVE
93,9156,MOTORCYCLE,2258.91,2022-01-19,SEIZED
94,4066,SMARTPHONE,427.98,2022-01-20,SEIZED
95,10795,MOTORCYCLE,3683.29,2022-01-20,ACTIVE
96,2111,CAR,1844.7,2022-01-20,ACTIVE
97,4338,MOTORCYCLE,1555.34,2022-01-20,ACTIVE
98,19179,CAR,19905.53,2022-01-20,RELEASED
99,4869,SMARTPHONE,754.87,2022-01-20,RELEASED
100,7769,SMARTPHONE,427.5,2022-01-20,RELEASED
101,12525,CAR,8545.29,2022-01-20,RELEASED
102,19438,MOTORCYCLE,4539.38,2022-01-21,ACTIVE
103,10283,MOTORCYCLE,2929.81,2022-01-21,ACTIVE
104,4063,CAR,5097.78,2022-01-21,ACTIVE
105,1106,SMARTPHONE,966.48,2022-01-21,ACTIVE
106,23365,SMARTPHONE,1004.5,2022-01-21,SEIZED
107,5224,CAR,7031.23,2022-01-21,RELEASED
108,17696,CAR,6989.37,2022-01-21,RELEASED
109,19112,CAR,4055.45,2022-01-22,RELEASED
110,14134,CAR,81469.37,2022-01-22,ACTIVE
111,22310,CAR,20256.68,2022-01-22,ACTIVE
112,5726,MOTORCYCLE,2771.03,2022-01-23,SEIZED
113,20868,CAR,64986.28,2022-01-23,ACTIVE
114,4972,SMARTPHONE,828.1,2022-01-23,ACTIVE
115,8375,MOTORCYCLE,2195.08,2022-01-23,RELEASED
116,550,CAR,2077.55,2022-01-23,ACTIVE
117,16580,MOTORCYCLE,2707.2,2022-01-23,ACTIVE
118,13132,MOTORCYCLE,11976.9,2022-01-23,RELEASED
119,11228,SMARTPHONE,689.28,2022-01-23,ACTIVE
120,22237,MOTORCYCLE,3674.32,2022-01-23,RELEASED
121,19038,MOTORCYCLE,944.32,2022-01-24,RELEASED
122,14126,MOTORCYCLE,2664.73,2022-01-24,ACTIVE
123,612,CAR,69645.23,2022-01-24,ACTIVE
124,16955,CAR,7754.52,2022-01-24,ACTIVE
125,5466,SMARTPHONE,773.02,2022-01-25,ACTIVE
126,403,CAR,4526.22,2022-01-25,ACTIVE
127,4790,CAR,4751.76,2022-01-25,RELEASED
128,5910,SMARTPHONE,768.45,2022-01-25,RELEASED
129,12280,SMARTPHONE,836.0,2022-01-25,RELEASED
130,14155,MOTORCYCLE,1408.21,2022-01-25,ACTIVE
131,3386,SMARTPHONE,493.51,2022-01-25,ACTIVE
132,8540,SMARTPHONE,909.89,2022-01-25,ACTIVE
133,11954,SMARTPHONE,761.13,2022-01-26,RELEASED
134,21954,MOTORCYCLE,14657.66,2022-01-26,ACTIVE
135,3856,MOTORCYCLE,1766.65,2022-01-26,RELEASED
136,11545,SMARTPHONE,486.87,2022-01-26,RELEASED
137,21121,CAR,20002.55,2022-01-26,ACTIVE
138,3899,CAR,4088.65,2022-01-26,RELEASED
139,17585,SMARTPHONE,814.95,2022-01-27,ACTIVE
140,11328,CAR,23364.2,2022-01-27,RELEASED
141,11856,MOTORCYCLE,3404.73,2022-01-27,RELEASED
142,20419,SMARTPHONE,750.68,2022-01-27,ACTIVE
143,15950,CAR,8664.37,2022-01-28,RELEASED
144,2907,MOTORCYCLE,2736.0,2022-01-28,RELEASED
145,22909,SMARTPHONE,509.92,2022-01-28,ACTIVE
146,22367,CAR,1261.2,2022-01-28,RELEASED
147,4846,CAR,12565.54,2022-01-28,ACTIVE
148,5445,SMARTPHONE,952.05,2022-01-29,SEIZED
149,18965,MOTORCYCLE,5064.42,2022-01-29,ACTIVE
150,9371,MOTORCYCLE,4237.63,2022-01-29,SEIZED
151,15549,SMARTPHONE,479.99,2022-01-30,ACTIVE
152,20392,SMARTPHONE,336.57,2022-01-30,SEIZED
153,14389,SMARTPHONE,580.74,2022-01-31,RELEASED
154,7515,CAR,3196.56,2022-01-31,ACTIVE
155,2406,SMARTPHONE,804.53,2022-01-31,ACTIVE
156,20673,CAR,32646.74,2022-01-31,ACTIVE
157,3010,SMARTPHONE,649.27,2022-01-31,RELEASED
158,9441,MOTORCYCLE,51281.88,2022-01-31,RELEASED
159,5997,SMARTPHONE,155.55,2022-01-31,RELEASED
160,22600,SMARTPHONE,1088.32,2022-01-31,RELEASED
161,9391,CAR,4430.63,2022-01-31,RELEASED
162,858,SMARTPHONE,547.83,2022-01-31,RELEASED
163,7617,MOTORCYCLE,1566.88,2022-01-31,RELEASED
164,10353,SMARTPHONE,836.32,2022-01-31,ACTIVE
165,21011,MOTORCYCLE,62231.43,2022-02-01,ACTIVE
166,18170,SMARTPHONE,732.75,2022-02-02,ACTIVE
167,19364,SMARTPHONE,728.22,2022-02-02,RELEASED
168,16525,MOTORCYCLE,1885.89,2022-02-02,ACTIVE
169,16796,CAR,27031.57,2022-02-02,SEIZED
