customer_id,customer_type,customer_since_date,status
1,INDIVIDUAL,2025-09-18,ACTIVE
2,INDIVIDUAL,2022-11-02,ACTIVE
3,INDIVIDUAL,2025-06-06,ACTIVE
4,INDIVIDUAL,2022-02-16,ACTIVE
5,INDIVIDUAL,2022-03-16,ACTIVE
6,CORPORATE,2025-08-16,ACTIVE
7,INDIVIDUAL,2022-11-17,ACTIVE
8,CORPORATE,2025-12-31,ACTIVE
9,INDIVIDUAL,2024-08-28,ACTIVE
10,INDIVIDUAL,2025-12-04,ACTIVE
11,CORPORATE,2025-06-24,ACTIVE
12,INDIVIDUAL,2022-12-21,ACTIVE
13,INDIVIDUAL,2023-07-31,ACTIVE
14,CORPORATE,2024-01-13,ACTIVE
15,INDIVIDUAL,2025-12-17,ACTIVE
16,INDIVIDUAL,2025-03-18,ACTIVE
17,INDIVIDUAL,2022-01-06,ACTIVE
18,INDIVIDUAL,2025-05-31,ACTIVE
19,INDIVIDUAL,2025-07-09,ACTIVE
20,INDIVIDUAL,2022-03-28,ACTIVE
21,INDIVIDUAL,2022-08-17,ACTIVE
22,INDIVIDUAL,2024-03-18,ACTIVE
23,INDIVIDUAL,2022-10-20,ACTIVE
24,INDIVIDUAL,2022-03-12,ACTIVE
25,INDIVIDUAL,2024-04-06,ACTIVE
26,INDIVIDUAL,2024-08-16,ACTIVE
27,INDIVIDUAL,2022-03-30,ACTIVE
28,INDIVIDUAL,2022-01-04,ACTIVE
29,INDIVIDUAL,2023-06-14,ACTIVE
30,INDIVIDUAL,2023-07-18,ACTIVE
31,INDIVIDUAL,2022-06-20,ACTIVE
32,CORPORATE,2023-10-14,ACTIVE
33,CORPORATE,2022-07-04,ACTIVE
34,INDIVIDUAL,2023-03-12,ACTIVE
35,INDIVIDUAL,2024-04-26,ACTIVE
36,INDIVIDUAL,2022-01-15,ACTIVE
37,INDIVIDUAL,2024-07-23,ACTIVE
38,INDIVIDUAL,2022-10-15,ACTIVE
39,INDIVIDUAL,2025-04-27,ACTIVE
40,CORPORATE,2022-05-03,ACTIVE
41,INDIVIDUAL,2023-09-30,ACTIVE
42,INDIVIDUAL,2023-06-03,ACTIVE
43,INDIVIDUAL,2024-08-26,ACTIVE
44,INDIVIDUAL,2022-12-26,ACTIVE
