loan_id,customer_id,staff_id,branch_id,product_id,policy_id,collateral_id,start_date,interest_rate,tenor,amount,outstanding,status
5976,5128,725,50,1,1,1,2022-01-04,3.5,6,1975.5,0.0,CLOSED
18694,15966,436,59,1,1,1,2022-01-04,3.17,18,1336.75,0.0,CLOSED
20242,17281,436,59,6,1,2,2022-01-04,3.21,24,13566.87,8905.17,ACTIVE
23247,19859,725,50,3,1,3,2022-01-04,1.82,6,1827.66,0.0,CLOSED
7047,6043,725,50,1,1,4,2022-01-05,2.77,6,1433.08,439.97,DEFAULT
17096,14605,436,59,4,1,5,2022-01-05,2.63,15,12736.42,0.0,CLOSED
476,415,436,59,1,1,6,2022-01-05,2.41,15,1235.72,0.0,CLOSED
12057,10323,436,59,2,1,7,2022-01-05,4.67,3,624.06,388.24,DEFAULT
18562,15855,725,50,4,1,8,2022-01-05,2.68,42,8115.74,4701.1,ACTIVE
5144,4404,436,59,2,1,9,2022-01-05,4.51,3,411.67,0.0,CLOSED
11087,9496,436,59,1,1,1,2022-01-05,3.11,12,1718.78,0.0,CLOSED
19977,17053,436,59,2,1,10,2022-01-05,3.87,6,817.45,583.79,ACTIVE
17983,15364,436,59,1,1,6,2022-01-05,2.79,24,1668.36,1303.81,ACTIVE
10633,9109,725,50,5,1,11,2022-01-05,3.48,30,13370.67,0.0,CLOSED
12358,10582,725,50,3,1,11,2022-01-05,1.22,12,3412.48,1813.59,ACTIVE
22490,19202,436,59,2,1,12,2022-01-06,4.09,9,874.18,333.5,ACTIVE
2603,2242,725,50,1,1,1,2022-01-06,2.81,24,1140.31,0.0,CLOSED
13703,11723,725,50,2,1,13,2022-01-06,3.36,6,348.84,255.3,DEFAULT
6334,5429,725,50,1,1,6,2022-01-06,2.26,12,2633.5,0.0,CLOSED
21002,17934,733,65,4,1,11,2022-01-07,1.93,30,11510.52,10387.57,ACTIVE
16103,13766,733,65,2,2,14,2022-01-07,3.22,9,431.17,0.0,CLOSED
20802,17765,436,59,2,1,15,2022-01-07,4.09,12,766.49,0.0,CLOSED
23281,19886,725,50,4,1,16,2022-01-07,2.22,33,12781.93,12541.65,ACTIVE
2733,2352,7,93,6,1,17,2022-01-07,5.33,6,12811.37,7454.52,ACTIVE
1336,1148,436,59,1,1,18,2022-01-07,1.99,9,1272.28,0.0,CLOSED
7136,6119,725,50,3,1,19,2022-01-07,1.28,6,2797.42,2317.48,ACTIVE
17193,14689,436,59,4,1,20,2022-01-07,2.02,9,15527.64,5109.28,ACTIVE
7069,6065,436,59,2,1,21,2022-01-07,3.47,6,630.29,433.93,ACTIVE
6534,5603,436,59,4,1,11,2022-01-07,2.95,45,18034.86,2790.23,ACTIVE
14380,12293,733,65,2,2,22,2022-01-08,2.69,3,422.15,181.18,ACTIVE
9326,7988,733,65,4,1,5,2022-01-08,2.3,6,11740.72,1611.98,ACTIVE
2325,2003,436,59,3,1,5,2022-01-08,1.74,9,687.9,161.88,ACTIVE
1683,1460,436,59,6,1,23,2022-01-08,3.43,12,8665.04,5615.61,ACTIVE
20948,17885,733,65,1,4,24,2022-01-08,2.39,9,1924.3,1680.66,ACTIVE
9710,8319,436,59,5,5,25,2022-01-08,3.47,30,44018.79,4561.73,ACTIVE
10502,8990,733,65,3,2,26,2022-01-08,1.11,3,2315.88,2112.72,ACTIVE
10857,9299,600,23,1,1,27,2022-01-09,2.59,12,1419.93,365.17,ACTIVE
2618,2256,2,25,5,1,28,2022-01-09,2.65,48,31173.63,11295.46,ACTIVE
9043,7737,733,65,2,2,29,2022-01-09,2.86,3,909.47,771.91,ACTIVE
10011,8585,2,25,3,1,11,2022-01-09,1.61,9,3219.15,2856.93,ACTIVE
14696,12553,733,65,2,2,30,2022-01-09,3.5,12,271.19,61.06,ACTIVE
12532,10733,600,23,3,1,11,2022-01-09,1.94,3,1993.71,1242.04,ACTIVE
12946,11088,7,93,2,2,31,2022-01-09,2.72,9,352.21,347.77,ACTIVE
11572,9909,66,51,6,1,32,2022-01-09,3.63,36,12090.69,0.0,CLOSED
5972,5125,733,65,2,2,33,2022-01-09,2.18,9,751.58,0.0,CLOSED
17075,14588,600,23,2,1,34,2022-01-09,4.97,6,328.97,258.72,ACTIVE
11708,10023,7,93,2,2,14,2022-01-09,3.21,9,578.63,0.0,CLOSED
8374,7170,436,59,1,1,35,2022-01-09,2.17,24,689.11,0.0,CLOSED
10334,8853,436,59,5,5,6,2022-01-10,3.11,18,15527.86,0.0,CLOSED
15611,13349,66,51,2,1,33,2022-01-10,3.13,3,659.95,0.0,CLOSED
11042,9458,725,50,5,1,3,2022-01-10,2.07,24,39426.37,0.0,CLOSED
1771,1535,725,50,3,1,36,2022-01-10,1.64,12,2596.16,937.47,ACTIVE
14303,12227,7,93,3,2,32,2022-01-11,0.78,6,4003.53,0.0,CLOSED
18519,15816,436,59,2,1,37,2022-01-11,4.26,3,808.21,512.91,ACTIVE
18559,15852,733,65,1,4,38,2022-01-11,1.87,15,1442.17,893.32,ACTIVE
9149,7830,436,59,1,1,39,2022-01-11,2.62,12,822.46,118.75,ACTIVE
14059,12016,66,51,2,1,33,2022-01-11,3.16,6,283.08,196.41,DEFAULT
15844,13542,7,93,3,2,32,2022-01-11,1.8,3,3111.5,2541.89,ACTIVE
276,243,7,93,3,4,3,2022-01-11,1.07,3,884.89,0.0,CLOSED
9554,8188,733,65,1,4,40,2022-01-12,1.98,9,615.73,568.88,ACTIVE
13044,11169,66,51,3,1,41,2022-01-12,1.72,9,1847.25,0.0,CLOSED
7645,6550,725,50,1,1,42,2022-01-12,3.29,6,1258.72,659.01,ACTIVE
1383,1187,725,50,6,1,43,2022-01-12,3.85,18,14615.52,13069.66,ACTIVE
12519,10722,66,51,1,1,44,2022-01-12,1.89,24,1737.36,778.96,ACTIVE
21283,18166,600,23,2,1,45,2022-01-12,3.41,3,354.68,0.0,CLOSED
3549,3048,7,93,3,2,41,2022-01-12,0.9,9,4216.48,3589.09,ACTIVE
20870,17819,436,59,1,1,46,2022-01-13,3.42,9,2048.21,745.08,ACTIVE
12284,10521,66,51,1,1,47,2022-01-13,3.42,15,1436.7,0.0,CLOSED
9352,8010,725,50,3,1,48,2022-01-13,1.67,9,2997.99,330.98,ACTIVE
6047,5187,66,51,5,5,3,2022-01-13,2.57,48,57256.95,5825.2,ACTIVE
15892,13582,66,51,2,1,49,2022-01-13,4.38,6,493.32,0.0,CLOSED
15714,13430,2,25,3,1,50,2022-01-13,2.47,9,1001.39,0.0,CLOSED
